code,name,category,duration_minutes,price_kopecks
КОНС001,Первичная консультация,Консультации,30,2000
КОНС002,Повторная консультация,Консультации,30,1000
УЗД049,УЗИ надпочечников,УЗД взрослое,15,2000
УЗД050,УЗДС брюшного отдела аорты и её ветвей,УЗД взрослое,30,3000
УЗД051,УЗДС вен нижних конечностей,УЗД взрослое,30,2500
УЗД052,УЗДС артерий нижних конечностей,УЗД взрослое,30,2500
УЗД053,УЗИ семенных пузырьков,УЗД взрослое,15,2000
УЗД054,УЗИ органов мошонки,УЗД взрослое,15,2000
УЗД055,УЗИ пахового канала,УЗД взрослое,15,2000
УЗД056,УЗИ беременности,УЗД взрослое,30,2000
УЗД057,УЗИ в косметологии,УЗД взрослое,15,2000
УЗД058,УЗИ простаты,УЗД взрослое,15,2000
УЗД059,УЗИ головного мозга ребенку / НСГ,УЗД детское,15,1800
УЗД060,УЗИ лимфатических узлов ребенку,УЗД детское,15,1500
УЗД061,УЗИ сосудов ребенку,УЗД детское,20,2000
УЗД062,УЗИ лимфоузлов,УЗД взрослое,15,1500
АК001,Симфизитометрия,Акушерство,10,1000
АК002,Цервикометрия,Акушерство,15,1500
АК003,Плановый скрининг беременности,Акушерство,30,2500
ФИЗ015,Иглорефлексотерапия,Физиокабинет,30,5000
ОФТ001,Аппаратное лечение зрения,Офтальмология,30,5000
